BJD - 2454833, Corrected Flux
2997.573051273, 0.993028044,
2997.593483525, 0.992910225,
2997.613915677, 0.993017641,
2997.634347829, 0.992865439,
2997.654779979, 0.992976239,
2997.675212130, 0.993175656,
2997.695644280, 0.993247614,
2997.716076429, 0.993347239,
2997.736508578, 0.993196213,
2997.756940726, 0.993282172,
2997.777372874, 0.994610366,
2997.797804921, 0.992902572,
2997.818237168, 0.993109497,
2997.838669314, 0.993332140,
2997.859101460, 0.993143974,
2997.879533605, 0.993208563,
2997.899965750, 0.993309512,
2997.920397894, 0.993300082,
2997.940830137, 0.993344786,
2997.961262180, 0.993306870,
2997.981694323, 0.993448400,
2998.002126565, 0.993603897,
2998.022558607, 0.993386902,
2998.042990748, 0.993393167,
2998.063422989, 0.993244491,
2998.083855029, 0.993459259,
2998.104287168, 0.993419458,
2998.124719407, 0.993380273,
2998.145151446, 0.993537510,
2998.165583584, 0.989332971,
2998.186015822, 0.984200113,
2998.206447859, 0.983424217,
2998.226879995, 0.982991531,
2998.247312231, 0.982925198,
2998.267744266, 0.983160500,
2998.288176401, 0.983340779,
2998.308608636, 0.984724011,
2998.329040770, 0.991466136,
2998.349472803, 0.993372506,
2998.369905036, 0.993260153,
2998.390337169, 0.993207637,
2998.410769201, 0.993180810,
2998.431201432, 0.993355301,
2998.451633563, 0.993363157,
2998.472065594, 0.993452367,
2998.492497824, 0.993266158,
2998.512929853, 0.993402375,
2998.533361982, 0.993459741,
2998.553794210, 0.993335746,
2998.574226238, 0.993257224,
2998.594658366, 0.993274195,
2998.615090593, 0.993308741,
2998.635522619, 0.993052893,
2998.655954745, 0.993188604,
2998.676386970, 0.993150228,
2998.696819095, 0.993131050,
2998.717251220, 0.993090677,
2998.737683344, 0.992892460,
2998.758115467, 0.993096769,
2998.778547689, 0.993025842,
2998.819411834, 0.993069197,
2998.839844055, 0.993241331,
2998.860276076, 0.993373287,
2998.880708197, 0.992930646,
2998.901140416, 0.993063957,
2998.921572435, 0.993039835,
2998.942004555, 0.993181293,
2998.962436773, 0.993091268,
2998.982868791, 0.992862309,
2999.003300908, 0.993015932,
2999.023733125, 0.993088499,
2999.044165141, 0.993014210,
2999.064597257, 0.993048031,
2999.085029472, 0.992962558,
2999.105461487, 0.993159665,
2999.125893602, 0.992997971,
2999.146325815, 0.993067387,
2999.166757929, 0.992932409,
2999.187189942, 0.993071055,
2999.207622154, 0.993123651,
2999.228054166, 0.993039369,
2999.248486277, 0.993076697,
2999.268918488, 0.993075628,
2999.309782608, 0.992921251,
2999.330214818, 0.992965733,
2999.350646826, 0.992972026,
2999.371078935, 0.992915121,
2999.391511143, 0.993039185,
2999.411943150, 0.993104509,
2999.432375257, 0.993031552,
2999.452807464, 0.993048438,
2999.473239469, 0.992862721,
2999.493671575, 0.992888194,
2999.514103780, 0.992951366,
2999.534535884, 0.993030999,
2999.554967888, 0.993108139,
2999.575400091, 0.993083242,
2999.595832194, 0.993120738,
2999.616264197, 0.992950142,
2999.636696399, 0.993003961,
2999.657128500, 0.993224838,
2999.677560501, 0.993021844,
2999.697992701, 0.993017605,
2999.718424801, 0.992879960,
2999.738856801, 0.993024675,
2999.759289000, 0.993701685,
2999.779721098, 0.993135614,
2999.800153196, 0.993154343,
2999.881881583, 0.993234903,
2999.902313679, 0.993057538,
2999.922745774, 0.992980554,
2999.943177868, 0.993028831,
2999.963609963, 0.993202358,
2999.984042056, 0.993224150,
3000.004474149, 0.993260616,
3000.024906241, 0.993405210,
3000.045338434, 0.993307029,
3000.065770425, 0.993290662,
3000.086202517, 0.993256205,
3000.106634707, 0.993186174,
3000.127066697, 0.993632301,
3000.147498787, 0.993505034,
3000.167930976, 0.993359948,
3000.188362965, 0.993715899,
3000.208795053, 0.993510721,
3000.229227241, 0.993513019,
3000.249659228, 0.993373875,
3000.290523501, 0.993801007,
3000.310955486, 0.993657481,
3000.331387572, 0.993574376,
3000.351819756, 0.993650672,
3000.372251841, 0.993603198,
3000.392683824, 0.993785259,
3000.413116008, 0.993390087,
3000.433548091, 0.993672979,
3000.453980073, 0.993670340,
3000.474412255, 0.993907962,
3000.494844336, 0.993389794,
3000.515276317, 0.993568529,
3000.535708497, 0.993594438,
3000.556140577, 0.993512053,
3000.576572556, 0.993486877,
3000.597004736, 0.993807980,
3000.617436814, 0.993498656,
3000.637868892, 0.993745397,
3000.658300969, 0.993638666,
3000.678733047, 0.993325699,
3000.699165123, 0.993600193,
3000.719597199, 0.993558210,
3000.740029274, 0.993375159,
3000.780893424, 0.993042703,
3000.801325498, 0.985573467,
3000.821757472, 0.983666570,
3000.842189645, 0.983291258,
3000.862621717, 0.982943561,
3000.883053690, 0.983050678,
3000.903485861, 0.983307928,
3000.923917933, 0.983842956,
3000.944349903, 0.986971805,
3000.964782074, 0.993138845,
3000.985214143, 0.993443223,
3001.005646113, 0.993466314,
3001.026078281, 0.993606440,
3001.046510350, 0.993638699,
3001.066942518, 0.993514686,
3001.087374485, 0.993754603,
3001.107806552, 0.993392821,
3001.128238718, 0.993558703,
3001.148670684, 0.993613474,
3001.169102750, 0.993595531,
3001.189534914, 0.993386012,
3001.209966979, 0.993420724,
3001.230398943, 0.993249397,
3001.291695132, 0.993541048,
3001.312127294, 0.993543727,
3001.332559356, 0.993405078,
3001.352991317, 0.993162034,
3001.373423478, 0.993085266,
3001.393855538, 0.993120494,
3001.414287498, 0.993459988,
3001.434719657, 0.993167574,
3001.455151716, 0.993286227,
3001.475583674, 0.993225025,
3001.516447789, 0.993153683,
3001.536879846, 0.993114959,
3001.557312002, 0.993084318,
3001.577744058, 0.992720538,
3001.598176014, 0.993163424,
3001.618608169, 0.992986006,
3001.639040223, 0.993105213,
3001.659472177, 0.993249715,
3001.679904331, 0.993175593,
3001.700336384, 0.993250874,
3001.720768336, 0.993293425,
3001.761632540, 0.993108538,
3001.782064491, 0.992966900,
3001.802496642, 0.993212170,
3001.822928692, 0.993102677,
3001.843360642, 0.992877666,
3001.863792792, 0.993048433,
3001.884224840, 0.992797926,
3001.904656888, 0.993048682,
3001.925088936, 0.993126037,
3001.945520984, 0.993143466,
3001.965953031, 0.993082500,
3002.006817123, 0.993166946,
3002.027249169, 0.993238681,
3002.047681314, 0.993307464,
3002.068113258, 0.993232860,
3002.088545303, 0.993594416,
3002.108977446, 0.993040452,
3002.129409389, 0.993193606,
3002.149841432, 0.993116341,
3002.170273574, 0.993116933,
3002.190705516, 0.993189864,
3002.211137657, 0.993341671,
3002.231569598, 0.993461038,
3002.252001639, 0.993618871,
3002.272433778, 0.993576485,
3002.292865718, 0.993546730,
3002.313297757, 0.993792833,
3002.333729896, 0.993982950,
3002.354161833, 0.993820857,
3002.374593871, 0.993734304,
3002.395026008, 0.993422953,
3002.415458045, 0.993327602,
3002.435889981, 0.993370048,
3002.456322117, 0.993228065,
3002.476754152, 0.993609992,
3002.497186087, 0.993255873,
3002.517618221, 0.993242348,
3002.538050255, 0.993295056,
3002.558482188, 0.993358812,
3002.578914321, 0.993272500,
3002.599346354, 0.993089973,
3002.619778286, 0.993284191,
3002.640210417, 0.993115762,
3002.660642448, 0.993207399,
3002.681074379, 0.993024638,
3002.701506509, 0.993097012,
3002.742370568, 0.993463925,
3002.762802597, 0.993237897,
3002.783234625, 0.993136219,
3002.803666653, 0.993144580,
3002.824098680, 0.993233104,
3002.844530707, 0.993536647,
3002.864962734, 0.993219576,
3002.885394860, 0.993307730,
3002.905826785, 0.993149562,
3002.926258810, 0.993362433,
3002.946690935, 0.993228394,
3002.967122859, 0.993112947,
3002.987554882, 0.993147840,
3003.007986906, 0.993160364,
3003.028418929, 0.992848613,
3003.048850951, 0.993032236,
3003.069282973, 0.992686586,
3003.089714994, 0.993117837,
3003.110147015, 0.992978472,
3003.130579036, 0.993071646,
3003.151011056, 0.993066862,
3003.171443075, 0.992757077,
3003.191875094, 0.993133386,
3003.232739131, 0.993130420,
3003.253171249, 0.993416527,
3003.273603166, 0.993237975,
3003.294035283, 0.993366954,
3003.314467299, 0.993133399,
3003.334899215, 0.993256770,
3003.355331331, 0.993152645,
3003.375763345, 0.993133313,
3003.396195260, 0.993214277,
3003.416627374, 0.990129779,
3003.437059388, 0.984153567,
3003.457491301, 0.983112623,
3003.477923413, 0.982959604,
3003.498355426, 0.982719884,
3003.518787338, 0.982779329,
3003.559651460, 0.984014060,
3003.580083470, 0.990520653,
3003.600515480, 0.993074072,
3003.620947490, 0.993127043,
3003.641379499, 0.993049683,
3003.661811508, 0.992832287,
3003.682243516, 0.993070470,
3003.723107531, 0.992967304,
3003.743539538, 0.993032397,
3003.763971544, 0.993108386,
3003.784403550, 0.992920563,
3003.804835555, 0.993150495,
3003.825267560, 0.993074098,
3003.845699565, 0.992716806,
3003.866131569, 0.992829838,
3003.886563473, 0.993043045,
3003.906995576, 0.992875602,
3003.927427579, 0.993061849,
3003.968291583, 0.993186587,
3003.988723584, 0.992886226,
3004.009155585, 0.992999934,
3004.029587586, 0.993186198,
3004.050019586, 0.993205512,
3004.070451585, 0.993187101,
3004.090883685, 0.992994201,
3004.111315583, 0.993025661,
3004.131747582, 0.992971441,
3004.152179680, 0.993036713,
3004.172611577, 0.992877147,
3004.193043574, 0.993120777,
3004.213475670, 0.992929745,
3004.233907567, 0.993148254,
3004.254339562, 0.993390223,
3004.274771657, 0.993312965,
3004.295203552, 0.993150335,
3004.315635646, 0.993601460,
3004.336067640, 0.993325019,
3004.356499533, 0.993430369,
3004.376931626, 0.993488301,
3004.397363619, 0.993633832,
3004.417795611, 0.993150996,
3004.458659593, 0.993378573,
3004.479091484, 0.993571265,
3004.499523575, 0.993519658,
3004.519955564, 0.993596086,
3004.540387554, 0.993358483,
3004.560819543, 0.993449221,
3004.581251531, 0.993477275,
3004.601683419, 0.993686883,
3004.622115507, 0.993392172,
3004.642547494, 0.993447491,
3004.662979381, 0.993454041,
3004.703843453, 0.993765500,
3004.724275338, 0.993739805,
3004.744707423, 0.993419148,
3004.765139408, 0.993802444,
3004.785571392, 0.993535002,
3004.806003375, 0.993528818,
3004.826435358, 0.993336852,
3004.846867341, 0.993551091,
3004.867299323, 0.993676116,
3004.887731305, 0.993670016,
3004.908163287, 0.993567367,
3004.928595368, 0.993664316,
3004.949027248, 0.993498999,
3004.969459228, 0.993590646,
3004.989891308, 0.993410424,
3005.010323187, 0.993625176,
3005.030755166, 0.993767242,
3005.051187245, 0.993568906,
3005.071619123, 0.993495882,
3005.092051100, 0.993616965,
3005.112483177, 0.993569112,
3005.132915054, 0.993623633,
3005.153347030, 0.993676334,
3005.214642956, 0.993498056,
3005.235075030, 0.993867370,
3005.255507004, 0.993882282,
3005.275938878, 0.993956324,
3005.316802824, 0.993967138,
3005.337234896, 0.993878206,
3005.357666868, 0.993688574,
3005.378098739, 0.993632093,
3005.398530810, 0.993868130,
3005.418962781, 0.993659735,
3005.439394651, 0.993987823,
3005.459826720, 0.993845913,
3005.480258690, 0.993773197,
3005.500690558, 0.993762985,
3005.521122627, 0.993707719,
3005.541554595, 0.993635761,
3005.561986462, 0.993631382,
3005.582418529, 0.993668960,
3005.602850496, 0.993467462,
3005.623282462, 0.993596154,
3005.643714428, 0.993668886,
3005.664146393, 0.993751018,
3005.684578358, 0.993708468,
3005.705010323, 0.993549939,
3005.725442287, 0.993474864,
3005.745874250, 0.993651978,
3005.766306313, 0.993765592,
3005.786738176, 0.993765126,
3005.807170139, 0.993601679,
3005.827602200, 0.993516266,
3005.848034062, 0.993537380,
3005.868466023, 0.993577480,
3005.888898084, 0.993455687,
3005.929761903, 0.993460530,
3005.950193963, 0.993517319,
3005.970625821, 0.993361488,
3005.991057780, 0.993639277,
3006.011489738, 0.993252054,
3006.031921696, 0.993153538,
3006.052353653, 0.986204092,
3006.072785609, 0.983876556,
3006.093217566, 0.983066405,
3006.113649522, 0.982806251,
3006.134081577, 0.983175694,
3006.174945387, 0.983518717,
3006.195377441, 0.986106386,
3006.215809295, 0.993258538,
3006.236241249, 0.993602095,
3006.256673301, 0.993619446,
3006.277105154, 0.993665122,
3006.297537206, 0.993734679,
3006.317969158, 0.993504831,
3006.338401009, 0.993430426,
3006.358833060, 0.993547168,
3006.379265010, 0.993525004,
3006.399696860, 0.993850653,
3006.420128909, 0.993784503,
3006.440560859, 0.993736001,
3006.460992807, 0.993677176,
3006.481424756, 0.993931879,
3006.501856703, 0.993829901,
3006.522288651, 0.993873196,
3006.542720598, 0.993534488,
3006.563152545, 0.993679556,
3006.583584491, 0.993953303,
3006.604016537, 0.993852446,
3006.624448382, 0.993947746,
3006.644880327, 0.993918007,
3006.665312371, 0.993680084,
3006.685744215, 0.993976745,
3006.706176159, 0.993879239,
3006.726608102, 0.994249280,
3006.747040045, 0.994003743,
3006.767471987, 0.994119155,
3006.787903929, 0.994377974,
3006.808335871, 0.994175250,
3006.828767812, 0.994193022,
3006.849199752, 0.993968031,
3006.869631693, 0.993701801,
3006.910495572, 0.993937514,
3006.930927511, 0.994041805,
3006.951359450, 0.993959743,
3006.971791488, 0.994212844,
3006.992223326, 0.994255325,
3007.012655263, 0.993999671,
3007.033087300, 0.994154926,
3007.053519137, 0.994003735,
3007.073951073, 0.993976037,
3007.094383109, 0.994336577,
3007.114814944, 0.994327381,
3007.155678913, 0.994067594,
3007.176110747, 0.994024645,
3007.196542781, 0.994219741,
3007.216974714, 0.994131871,
3007.237406547, 0.994026222,
3007.257838579, 0.994154318,
3007.278270511, 0.994205880,
3007.298702443, 0.994077816,
3007.319134374, 0.994461572,
3007.339566305, 0.994436933,
3007.359998235, 0.994105677,
3007.400862095, 0.993925755,
3007.421294023, 0.994082123,
3007.441726052, 0.994355950,
3007.462157880, 0.994259772,
3007.482589808, 0.994411931,
3007.503021736, 0.994245307,
3007.523453663, 0.994326276,
3007.543885589, 0.994316690,
3007.564317516, 0.994453907,
3007.584749442, 0.994322151,
3007.605181267, 0.994333510,
3007.625613292, 0.994187587,
3007.646045216, 0.994347603,
3007.666477141, 0.994345325,
3007.686909064, 0.994071810,
3007.707340988, 0.994243045,
3007.727772911, 0.994070431,
3007.748204833, 0.994279820,
3007.768636755, 0.994242948,
3007.789068677, 0.994251359,
3007.809500698, 0.994285345,
3007.829932519, 0.994039189,
3007.850364440, 0.993918938,
3007.891228280, 0.994222850,
3007.911660199, 0.993842841,
3007.932092218, 0.994083060,
3007.952524036, 0.994047603,
3007.972955954, 0.993897219,
3007.993387972, 0.993890568,
3008.013819789, 0.993985704,
3008.034251706, 0.993825349,
3008.054683722, 0.993959233,
3008.075115538, 0.993921274,
3008.095547554, 0.994082370,
3008.136411384, 0.993704145,
3008.156843299, 0.994254727,
3008.177275212, 0.993892399,
3008.197707126, 0.994049933,
3008.218139039, 0.993935128,
3008.238570952, 0.994077934,
3008.259002865, 0.994174149,
3008.279434777, 0.994019749,
3008.299866688, 0.993798474,
3008.320298599, 0.994179863,
3008.340730510, 0.993794845,
3008.361162420, 0.993762767,
3008.381594230, 0.993834566,
3008.402026240, 0.993761420,
3008.422458149, 0.993540194,
3008.442889958, 0.993832017,
3008.463321966, 0.993973443,
3008.483753874, 0.994006553,
